Game_Number,Result,Turns
1,win,67
2,win,29
3,win,31
4,win,35
5,win,69
6,win,39
7,win,41
8,win,37
9,win,55
10,lose,188
11,win,31
12,win,31
13,win,41
14,win,49
15,win,79
16,win,33
17,win,57
18,win,47
19,lose,654
20,win,61
21,win,37
22,win,41
23,win,53
24,win,53
25,win,41
26,win,25
27,win,47
28,win,29
29,win,21
30,win,25
31,win,61
32,win,65
33,win,41
34,win,29
35,win,39
36,win,63
37,win,53
38,win,27
39,win,53
40,win,41
41,win,31
42,win,69
43,win,25
44,win,49
45,win,39
46,win,19
47,win,25
48,win,31
49,win,29
50,win,23
51,win,73
52,win,41
53,win,67
54,win,57
55,win,35
56,lose,214
57,win,53
58,win,61
59,win,25
60,win,73
61,win,37
62,win,37
63,win,37
64,win,51
65,win,55
66,win,31
67,win,101
68,win,49
69,win,57
70,win,53
71,win,39
72,win,59
73,win,93
74,win,55
75,win,53
76,win,31
77,win,23
78,win,53
79,win,31
80,win,97
81,win,35
82,win,45
83,win,21
84,win,57
85,win,25
86,win,71
87,win,37
88,win,33
89,win,29
90,win,43
91,win,41
92,win,31
93,win,25
94,win,45
95,win,93
96,win,37
97,win,21
98,win,31
99,win,45
100,win,27
